data_coleta,destino_id,interesse,origem_1,origem_1_pct,origem_2,origem_2_pct,origem_3,origem_3_pct
2026-01-22,manaus,76,Amazonas,100,Roraima,8,Rondônia,1
2026-01-27,manaus,82,Amazonas,100,Roraima,8,Rondônia,1
2026-01-30,manaus,73,Amazonas,100,Roraima,8,Rondônia,1
2026-01-24,sao_luis,67,Maranhão,100,Piauí,3,Goiás,3
2026-01-27,sao_luis,69,Maranhão,100,Piauí,3,Goiás,3
2026-01-30,sao_luis,100,Maranhão,100,Piauí,3,Goiás,3
2026-01-24,lencois_maranhenses,62,Maranhão,100,Piauí,46,Distrito Federal,37
2026-01-27,lencois_maranhenses,55,Maranhão,100,Piauí,46,Distrito Federal,37
2026-01-30,lencois_maranhenses,43,Maranhão,100,Piauí,46,Distrito Federal,37
2026-01-25,jalapao,100,Tocantins,100,Goiás,14,Distrito Federal,12
2026-01-28,jalapao,20,Tocantins,100,Goiás,14,Distrito Federal,12
2026-01-30,jalapao,21,Tocantins,100,Goiás,14,Distrito Federal,12
2026-01-26,bonito,42,Mato Grosso do Sul,100,Paraná,3,Santa Catarina,1
2026-01-28,bonito,38,Mato Grosso do Sul,100,Paraná,3,Santa Catarina,1
2026-01-30,bonito,36,Mato Grosso do Sul,100,Paraná,3,Santa Catarina,1
2026-01-26,presidente_figueiredo,52,Amazonas,100,Roraima,33,Acre,1
2026-01-28,presidente_figueiredo,53,Amazonas,100,Roraima,33,Acre,1
2026-01-30,presidente_figueiredo,62,Amazonas,100,Roraima,33,Acre,1
2026-01-26,parintins,88,Amazonas,100,Pará,5,Roraima,2
2026-01-28,parintins,63,Amazonas,100,Pará,5,Roraima,2
2026-01-30,parintins,64,Amazonas,100,Pará,5,Roraima,2
2026-01-25,atins,49,Maranhão,100,Acre,64,Distrito Federal,12
2026-01-27,atins,41,Maranhão,100,Acre,64,Distrito Federal,12
2026-01-30,atins,37,Maranhão,100,Acre,64,Distrito Federal,12 
2026-01-31,manaus,75,Amazonas,100,Roraima,7,Rondônia,1
2026-01-31,sao_luis,52,Maranhão,100,Piauí,2,Goiás,2
2026-01-31,lencois_maranhenses,73,Maranhão,100,Tocantins,47,Piauí,37
2026-01-31,jalapao,5,Tocantins,100,Distrito Federal,15,Rondônia,15
2026-01-31,bonito,56,Mato Grosso do Sul,100,Paraná,2,Santa Catarina,2
2026-01-31,presidente_figueiredo,72,Amazonas,100,Roraima,26,Acre,3
2026-01-31,parintins,23,Amazonas,100,Roraima,6,Pará,5
2026-01-31,atins,34,Maranhão,100,Piauí,15,Distrito Federal,11
2026-02-02,manaus,64,Amazonas,100,Roraima,6,Rondônia,1
2026-02-02,sao_luis,47,Maranhao,100,Piaui,2,Goias,2
2026-02-02,lencois_maranhenses,44,Maranhao,100,Piaui,44,Tocantins,42
2026-02-02,jalapao,5,Tocantins,100,Distrito Federal,13,Rondonia,11
2026-02-02,bonito,53,Mato Grosso do Sul,100,Paraná,3,Santa Catarina,2
2026-02-02,presidente_figueiredo,56,Amazonas,100,Roraima,32,Acre,3
2026-02-02,parintins,39,Amazonas,100,Pará,5,Roraima,4
2026-02-02,atins,50,Maranhão,100,Distrito Federal,11,Piaui,9
